MATCH UP,W/L
WAS @ MIL,L
MIL vs. WAS,W
ATL @ POR,L
POR vs. ATL,W
HOU vs. UTA,L
UTA @ HOU,W
BOS @ ORL,L
ORL vs. BOS,W
CHI vs. PHX,L
PHX @ CHI,W
CLE @ LAL,W
LAL vs. CLE,L
NYK @ GSW,L
GSW vs. NYK,W
PHI @ CHA,W
CHA vs. PHI,L
LAC @ MEM,L
MEM vs. LAC,W
MIA vs. IND,W
IND @ MIA,L
SAS vs. NOH,L
NOH @ SAS,W
ATL @ SEA,W
SEA vs. ATL,L
TOR vs. MIL,W
MIL @ TOR,L
LAC @ NOH,L
NOH vs. LAC,W
WAS vs. MEM,W
MEM @ WAS,L
DEN vs. NJN,W
NJN @ DEN,L
LAL @ DAL,L
DAL vs. LAL,W
UTA vs. SAC,W
SAC @ UTA,L
POR vs. HOU,L
HOU @ POR,W
DET vs. ORL,W
ORL @ DET,L
PHX @ CLE,W
CLE vs. PHX,L
BOS vs. MIN,W
MIN @ BOS,L
PHI @ NYK,L
NYK vs. PHI,W
CHI vs. CHA,L
CHA @ CHI,W
IND @ MIL,L
MIL vs. IND,W
MIA vs. SAS,L
SAS @ MIA,W
GSW vs. NJN,W
NJN @ GSW,L
HOU @ SEA,W
SEA vs. HOU,L
CHA vs. DAL,L
DAL @ CHA,W
MEM vs. ORL,L
ORL @ MEM,W
POR @ NOH,L
NOH vs. POR,W
PHX @ MIN,L
MIN vs. PHX,W
DEN vs. ATL,W
ATL @ DEN,L
CLE vs. WAS,W
WAS @ CLE,L
